Subject,eligible_to_participate,Country you practice in,Location of your practice (City),Population of critically ill patients you manage,What type of ICU do you provide critical care? (select more than one if it applies),Please describe the ICU:,Type of hospital you are employed by (select more than one if it applies),Please describe the hospital:,Beds in your primary Intensive Care Unit,What is the Patient-to-nurse ratio in your Intensive Care Unit?,Do you have separate Stepdown Units / High Dependency Units for critically ill patients?,What is your specialty?,Please describe your specialty:,Years of practice in critical care medicine,Is your ICU managed by a dedicated team of intensivists?,"Advanced Practice Provider (PA, NP)",Critical Care Technician,Dietician,Occupational / Speech Therapist,Pharmacist,Physician (Consultant/Attending),Physiotherapist,Registered Nurse,Respiratory Therapist,Social Worker,Training MD (Intern/Resident/Fellow),Other,Please list any other team members who participate in the multidisciplinary team:,Please list any other team members who actively participate or are present in rounds,How familiar are you with the ICU Liberation Bundle (A-F)?,Do you have written protocol for any part of the ICU Liberation Bundle (A-F)? (select only those that apply),Does your unit measure ICU Liberation Bundle (A-F) compliance?,"A: Assess, Prevent and Manage Pain",B: Both Spontaneous Awakening and Breathing Trials,C: Choice of Analgesia and Sedation,"D: Assess, Prevent, and Manage Delirium",E: Early Mobility and Exercise,F: Family Engagement,"A: Assess, Prevent and Manage Pain.1",B: Both Spontaneous Awakening and Breathing Trials.1,C: Choice of Analgesia and Sedation.1,"D: Assess, Prevent and Manage Delirium",E: Early Mobility and Exercise.1,F: Family Engagement.1,"A: Assess, Prevent and Manage Pain.2",B: Both Spontaneous Awakening and Breathing Trials.2,C: Choice of Analgesia and Sedation.2,"D: Assess, Prevent and Manage Delirium.1",E: Early Mobility and Exercise.2,F:Family Engagement,Does your unit staff use pain assessment tools to assess the pain in critically ill patients?,Drugs used for pain management (select all that apply):,Please list other drugs used,Does your unit perform spontaneous awakening trials for ventilated critically ill patients?,Does your unit perform spontaneous breathing trials for ventilated critically ill patients?,Does your unit staff use sedation assessment tools to assess sedation in critically ill patients?,Drugs used for sedation management (select all that apply):,Please list other drugs used.1,Do you use delirium monitoring tools in your unit?,Do you use nonpharmacological interventions to promote sleep in your unit?,Do you evaluate ICU-acquired weakness in your unit?,"Based on your experience, in the majority of patients, how early do you initiate active mobility (e.g., sitting at the bedside, out of bed) with patients in your unit, if patient condition allows?",How frequently is mobility practiced?,Invasive mechanical ventilation,Noninvasive Ventilation (BiPAP/HFNC),Peritoneal dialysis,Continuous renal replacement therapy (CRRT),Extracorporeal life support (ECMO),Participation on Rounds,24/7 unrestricted family visit,Involvement in care tasks,Provide education on the ICU Liberation Bundle (A-F),Family stays at bedside,Would you be interested in learning more about the ICU Liberation Bundle (A-F)?,Lack of Education,Communication barriers,Lack of funds and resources,Lack of nursing and other healthcare providers,It is too time-consuming,Lack of buy-in from leadership,Lack of buy-in from unit staff,Please describe any other barriers your unit is experiencing with regard to ICU Liberation Bundle (A-F) implementation. Enter N/A if none.,accept_icu_survey_complete,Government,Private,Semiprivate,University/Academic Hospital,Non-academic Hospital,District Hospital,Community Hospital/Secondary,-,Community,District,Government.1,Hospital,Hospital/Secondary,Non-academic,Other.1,Private.1,Semiprivate.1,University/Academic,-.1,Community.1,District.1,Government.2,Hospital.1,Hospital/Secondary.1,Non-academic.1,Other.2,Private.2,Semiprivate.2,University/Academic.1
SC-2911938,Yes,USA,Danville,Adult,Medical-Surgical Mixed ICU,,Non-academic Hospital Community Hospital/Secondary,,11 - 20 beds,1 nurse to 2 patients,No,Pharmacist,,11 - 15 years,Yes,,,,,Active Participation / Present During Rounds,Active Participation / Present During Rounds,,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
SC-2911959,Yes,Colombia,Medellín,Adult,Medical-Surgical Mixed ICU,,Government,,11 - 20 beds,1 nurse to 6-10 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow,Physician Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Ketamine Methadone,,Yes,Yes,Yes,Midazolam Propofol Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,No,I don't know,No,No,Yes,Yes,Yes,Yes,6,5,4,5,6,4,4,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2911968,Yes,Mexico,México City,Adult,Medical-Surgical Mixed ICU,,Private University/Academic Hospital,,>40 beds,1 nurse to 3-5 patients,Yes,Physician (Consultant/Attending),,6 - 10 years,No,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2912012,Yes,USA,Murray,Adult,Medical-Surgical Mixed ICU,,Private University/Academic Hospital,,21 - 30 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,<2 years,Yes,,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Non-Compliant,Compliant on most patients,Non-Compliant,Non-Compliant,Compliant on most patients,Non-Compliant,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse Respiratory Therapist,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Yes,Fentanyl Hydromorphone Morphine Ketamine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Multiple times a day,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,1,4,3,3,5,1,3,dysfunctional EMR,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
SC-2912020,Yes,Mexico,Hermosillo,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Private,,Less than 10 beds,1 nurse to 1 patient,No,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on most patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Lectures,Videos Lectures,Lectures,Lectures,Videos,Lectures,Physician,Physician Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Yes,Fentanyl Paracetamol,,Yes,Yes,Yes,Other,Isoflurano,Yes,Yes,Yes,Within 1-3 days of admission,Multiple times a day,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,2,1,1,1,8,1,1,,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2912027,Yes,Ukraine,Dnipro,Adult,Surgical ICU,,Government University/Academic Hospital,,11 - 20 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,11 - 15 years,I don't know,,,,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,"I have heard of it, but I don't know much about it",None of them,I don't know,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Non-Compliant,Non-Compliant,No,No,No,No,No,No,Physician Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician,Physician,Physician,Physician,Yes,Fentanyl Morphine Ketamine Paracetamol Nonsteroidal anti-inflammatory drugs,,No,Yes,No,Midazolam Diazepam Propofol Dexmedetomidine Other,sodium thiopental (mostly),I don't know,Yes,No,Within 7-10 days of admission,Variable,No,No,No,No,No,No,Yes,Yes,No,No,Yes,7,6,4,6,5,7,6,Education is the most important one,Completed,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2912062,Yes,Venezuela,Caracas,Adult,Medical-Surgical Mixed ICU,,Government,,11 - 20 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,>15 years,Yes,,,,,,,,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial,No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,No,No,No,No,No,No,Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,Advanced Practice Provider,Advanced Practice Provider,Training MD Intern / Resident / Fellow Advanced Practice Provider,No,Fentanyl Paracetamol Nonsteroidal anti-inflammatory drugs,,Yes,Yes,No,Midazolam Propofol,,No,No,Yes,Within 1-3 days of admission,Daily,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,1,1,1,4,4,4,4,,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2912070,Yes,Puerto Rico,Caguas,Adult,Other,Neurosurgical,Private Non-academic Hospital,,Less than 10 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,>15 years,Yes,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,0,Clinical Nurse Specialist,,Very Familiar,"A: Assess, Prevent and Manage Pain C: Choice of Analgesia and Sedation E: Early Mobility",No,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on most patients,Compliant on most patients,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Physician Registered Nurse,Physician Registered Nurse Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Morphine Paracetamol Other,"Percocet, neurontin, lyrica",Yes,Yes,Yes,Midazolam Propofol,,Yes,Yes,No,Within 1-3 days of admission,Daily,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,5,6,7,7,6,3,4,Rapid turn over iof staff,Completed,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
SC-2912092,Yes,Guatemala,Guatemala,Adult,Surgical ICU,,Government University/Academic Hospital,,21 - 30 beds,1 nurse to 3-5 patients,No,Physician (Consultant/Attending),,6 - 10 years,Yes,,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,None of them,No,Compliant on most patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Non-Compliant,Compliant on some patients,No,Lectures No,Lectures No,Lectures No,Lectures No,Lectures No,Physician,Physician,Physician,Physician,Physician,Physician,No,Fentanyl Morphine Paracetamol Nonsteroidal anti-inflammatory drugs Other,Tramadol,Yes,Yes,No,Midazolam Propofol,,No,No,No,Within 4-6 days of admission,Multiple times a day,No,Yes,No,No,No,No,No,No,No,No,Yes,7,6,8,8,2,8,8,"Unit space, and security concerns",Completed,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
SC-2912101,Yes,Nigeria,Lagos,Adult,Medical-Surgical Mixed ICU,,Private,,11 - 20 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,Yes,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",Yes,Compliant on some patients,Compliant on some patients,Fully Compliant (on all eligible patients),Compliant on some patients,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Videos Lectures Handouts Simulations,Physician Registered Nurse Respiratory Therapist,Registered Nurse Respiratory Therapist,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Physician Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Ketamine,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,8,3,4,8,3,Not a Barrier,2,N/a,Completed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SC-2912105,Yes,USA,McPherson,Both Adult and Pediatric,Surgical ICU Medical ICU,,Community Hospital/Secondary,,Less than 10 beds,1 nurse to 2 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,>15 years,No,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial B: Spontaneous Breathing Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management E: Early Mobility F: Family Engagement",No,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Compliant on some patients,Lectures,Lectures,Lectures,Lectures,Lectures,Lectures,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Physician Advanced Practice Provider,Yes,Fentanyl Morphine Ketamine Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Propofol Ketamine Dexmedetomidine,,Yes,Yes,Yes,Within 1-3 days of admission,Daily,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,5,4,Not a Barrier,5,2,1,1,Not critical care provider providing critical care coverage,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2912148,Yes,Mexico,Mexico,Adult,Medical-Surgical Mixed ICU,,Government,,11 - 20 beds,1 nurse to 2 patients,No,Physician (Consultant/Attending),,11 - 15 years,Yes,Active Participation / Present During Rounds,,Member of the Multidisciplinary Team,,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Somewhat Familiar,None of them,No,Non-Compliant,Non-Compliant,Non-Compliant,Compliant on some patients,Compliant on some patients,Compliant on some patients,Videos Lectures,Videos Lectures,Videos Lectures,Videos Lectures,Videos Lectures,Lectures,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Training MD Intern / Resident / Fellow Registered Nurse,No,Paracetamol Nonsteroidal anti-inflammatory drugs Other,buprenorphine,Yes,Yes,No,Midazolam Propofol Ketamine Dexmedetomidine,,No,No,No,Within 4-6 days of admission,Every other day,No,No,No,No,No,No,No,No,No,No,Yes,7,1,2,4,8,5,6,material in spanish,Completed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC-2912334,Yes,USA,"Rockford, IL",Adult,Medical-Surgical Mixed ICU,,Community Hospital/Secondary,,31 - 40 beds,1 nurse to 2 patients,Yes,Physician (Consultant/Attending),,>15 years,No,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Active Participation / Present During Rounds,Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,,0,,,Very Familiar,None of them,Yes,Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Fully Compliant (on all eligible patients),Compliant on most patients,Compliant on some patients,Compliant on most patients,Lectures,Lectures,Lectures,Lectures,Lectures,No,Physician Advanced Practice Provider,Physician Advanced Practice Provider Registered Nurse Respiratory Therapist,Physician Advanced Practice Provider,Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse,Physician Advanced Practice Provider Registered Nurse,Yes,Fentanyl Hydromorphone Ketamine,,Yes,No,No,Propofol Dexmedetomidine,,Yes,No,No,Within 1-3 days of admission,Daily,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,6,6,7,7,5,5,4,,Completed,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SC-2912647,Yes,USA,Jackson,Adult,Medical ICU,,Non-academic Hospital,,21 - 30 beds,1 nurse to 2 patients,Yes,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,3 - 5 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team Active Participation / Present During Rounds,,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,Very Familiar,"A: Assess, Prevent and Manage Pain B: Spontaneous Awakening Trial C: Choice of Analgesia and Sedation D: Delirium Assessment, Prevention and Management",No,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on most patients,Compliant on some patients,Compliant on some patients,Lectures,Lectures,Lectures,Lectures,No,No,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Respiratory Therapist,Physician Training MD Intern / Resident / Fellow Registered Nurse,Physician Registered Nurse,Registered Nurse,Registered Nurse,Yes,Fentanyl Hydromorphone Morphine Ketamine Methadone Nonsteroidal anti-inflammatory drugs,,Yes,Yes,Yes,Midazolam Lorazepam Propofol Ketamine Dexmedetomidine,,Yes,Yes,No,Within 1-3 days of admission,Daily,Yes,Yes,Yes,Yes,I don't know,Yes,Yes,No,No,Yes,Yes,Not a Barrier,6,1,3,4,5,2,,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SC-2912909,Yes,USA,Englewood,Adult,Medical-Surgical Mixed ICU Cardiac Thoracic ICU,,Private,,11 - 20 beds,1 nurse to 2 patients,No,"Advanced Practice Provider (Physician Assistant, Nurse Practitioner)",,6 - 10 years,Yes,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team,Member of the Multidisciplinary Team Active Participation / Present During Rounds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Entry Started,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
